timestamp_sec,timestamp_nanosec,frame_id,image_filename,orientation_x,orientation_y,orientation_z,orientation_w,ori_cov_0,ori_cov_1,ori_cov_2,ori_cov_3,ori_cov_4,ori_cov_5,ori_cov_6,ori_cov_7,ori_cov_8,angular_vel_x,angular_vel_y,angular_vel_z,ang_vel_cov_0,ang_vel_cov_1,ang_vel_cov_2,ang_vel_cov_3,ang_vel_cov_4,ang_vel_cov_5,ang_vel_cov_6,ang_vel_cov_7,ang_vel_cov_8,linear_accel_x,linear_accel_y,linear_accel_z,lin_accel_cov_0,lin_accel_cov_1,lin_accel_cov_2,lin_accel_cov_3,lin_accel_cov_4,lin_accel_cov_5,lin_accel_cov_6,lin_accel_cov_7,lin_accel_cov_8
1757377533,933001546,zed_imu_link,,-0.0003346228913869709,0.0007623423589393497,0.0015334172639995813,0.9999984502792358,3.749122566633192e-10,2.509733770874212e-13,1.8202401681524743e-13,2.5097317417144614e-13,5.863236991506153e-10,1.1761216888306402e-12,1.8202398299591826e-13,1.1761218241079569e-12,3.3623466667790075e-10,0.0004229449077159353,0.002345725356377751,0.00046424757251179593,1.4321551372126436e-06,0.0,0.0,0.0,2.6585200895751967e-06,0.0,0.0,0.0,2.558078551478636e-06,-0.012915404513478279,-0.016322068870067596,9.77857494354248,5.3140451200306416e-05,0.0,0.0,0.0,5.315550879458897e-05,0.0,0.0,0.0,4.9824051529867575e-05
1757377534,33801546,zed_imu_link,,-0.0002496229426469654,0.0006742069381289184,0.0015440810238942504,0.9999985694885254,3.750489798239814e-10,2.4205576109315415e-13,1.8186325663401252e-13,2.4205549053852075e-13,5.873219028950245e-10,1.2188269791081265e-12,1.8186325663401252e-13,1.2188268438308098e-12,3.3645464274591657e-10,-7.828162632558682e-05,0.00018115028992065417,0.0004741186612870936,1.4296838518157048e-06,0.0,0.0,0.0,2.7446684006176237e-06,0.0,0.0,0.0,2.015050537048027e-06,-0.010536493733525276,-0.009171264246106148,9.773805618286133,5.087515091872774e-05,0.0,0.0,0.0,6.003902672091499e-05,0.0,0.0,0.0,4.8652167606633157e-05
1757377534,43881546,zed_imu_link,,-0.0002562243025749922,0.0006824911688454449,0.001545092323794961,0.9999985694885254,3.7506560270065766e-10,2.430695293045138e-13,1.5818243814584606e-13,2.430696645818305e-13,5.874225405609021e-10,1.2103300755688008e-12,1.5818245505551065e-13,1.2103299402914839e-12,3.364248254608785e-10,0.0009920269481732064,-0.0003809378315908872,-0.0016741217540312337,1.4654118129033255e-06,0.0,0.0,0.0,2.7020752535214486e-06,0.0,0.0,0.0,1.9647691986699053e-06,-0.017436472699046135,-0.018763737753033638,9.783520698547363,4.936789264320396e-05,0.0,0.0,0.0,6.426700565498322e-05,0.0,0.0,0.0,4.900354178971611e-05
1757377534,53961546,zed_imu_link,,-0.0002485330041963607,0.0006940178573131561,0.001549589796923101,0.9999985694885254,3.750820870533616e-10,2.3923414682139825e-13,1.5959581555074136e-13,2.3923448501469e-13,5.875216544630843e-10,1.2140999838306327e-12,1.5959578173141218e-13,1.2140997132759993e-12,3.3644473828189696e-10,0.0014920112046569363,-0.0014206110476376267,0.002656911577123553,1.497083472922707e-06,0.0,0.0,0.0,2.7436090756638674e-06,0.0,0.0,0.0,1.8200009823764927e-06,-0.01731814257800579,-0.011643297970294952,9.786009788513184,4.832047488889657e-05,0.0,0.0,0.0,6.0948899772483855e-05,0.0,0.0,0.0,4.911077849101275e-05
1757377534,64041546,zed_imu_link,,-0.0002496274246368557,0.000713854213245213,0.001554005895741284,0.9999984502792358,3.7509891771599636e-10,2.3774799022011763e-13,1.6092587903821322e-13,2.3774758438816753e-13,5.876230540108094e-10,1.2173109262198548e-12,1.6092587903821322e-13,1.2173110614971717e-12,3.364638545900747e-10,-9.239418611405697e-05,0.0007372791331991628,0.001546043467724316,1.5228380626259426e-06,0.0,0.0,0.0,2.7073900349043264e-06,0.0,0.0,0.0,1.8155235329703182e-06,-0.02005213126540184,-0.002060478087514639,9.785774230957031,4.3635154725052416e-05,0.0,0.0,0.0,6.646066321991384e-05,0.0,0.0,0.0,4.903824446955696e-05
1757377534,76641546,zed_imu_link,image_20250908_203524_075_000001.jpg,-0.00030183562193997204,0.0006941617466509342,0.0015555920545011759,0.9999984502792358,3.751306050746604e-10,2.37725872378837e-13,1.757754899181556e-13,2.377254665468869e-13,5.877482796817705e-10,1.2096710044818318e-12,1.7577555755681397e-13,1.2096711397591485e-12,3.365071433314191e-10,-0.002173822464474112,0.00017896286972978712,0.0015439038361920194,1.59964068210728e-06,0.0,0.0,0.0,2.4029056023674722e-06,0.0,0.0,0.0,1.783270719451266e-06,-0.005660318769514561,0.005108012817800045,9.766741752624512,3.606051905080676e-05,0.0,0.0,0.0,6.789890903746709e-05,0.0,0.0,0.0,5.189205694478005e-05
1757377534,86721546,zed_imu_link,image_20250908_203524_096_000002.jpg,-0.00022797351994086057,0.0006713650655001402,0.0015579704195261002,0.9999985694885254,3.751442843169253e-10,2.3781285569347593e-13,1.7481260288754025e-13,2.3781258513884253e-13,5.878491943955926e-10,1.2298409876793137e-12,1.748125690682111e-13,1.2298409876793137e-12,3.365283374991813e-10,0.00045163838865615807,0.0007170220734890849,-0.0006105676675459445,1.6153257271108324e-06,0.0,0.0,0.0,2.3666610288693563e-06,0.0,0.0,0.0,1.7876057529156125e-06,-0.022253485396504402,-0.002102026715874672,9.769156455993652,3.805906089837663e-05,0.0,0.0,0.0,6.948307418497279e-05,0.0,0.0,0.0,5.459936801344156e-05
1757377534,96801546,zed_imu_link,image_20250908_203524_108_000003.jpg,-0.00023061237880028784,0.0007683454314246774,0.0015576056903228164,0.9999984502792358,3.7516360841106145e-10,2.384078053323283e-13,1.8215320665269718e-13,2.384077376936699e-13,5.879490009176363e-10,1.2292655179740663e-12,1.8215324047202638e-13,1.2292655179740663e-12,3.365507783826942e-10,0.0004538587732686513,0.0001741889940489894,-0.000609730423251506,1.7100965858184934e-06,0.0,0.0,0.0,2.1306102933517816e-06,0.0,0.0,0.0,1.4459128859994466e-06,-0.017673220485448837,0.00032848911359906197,9.778604507446289,3.649725113064051e-05,0.0,0.0,0.0,6.892953388160095e-05,0.0,0.0,0.0,5.463412162498571e-05
1757377534,106881546,zed_imu_link,image_20250908_203524_115_000004.jpg,-0.00022721978893969208,0.0007659158436581492,0.0015599419130012393,0.9999984502792358,3.7518030054972385e-10,2.3470377712372974e-13,1.8203910023605963e-13,2.347038447623881e-13,5.880485303917354e-10,1.2301720112732818e-12,1.8203916787471798e-13,1.2301720112732818e-12,3.365687864990935e-10,-0.002171847329957031,0.00017583186735183935,0.0015409832014396565,1.6946291364870167e-06,0.0,0.0,0.0,2.0783700265307875e-06,0.0,0.0,0.0,1.4369040847389957e-06,-0.03426641598343849,-0.004500616807490587,9.792983055114746,3.805461892625317e-05,0.0,0.0,0.0,6.773066706955433e-05,0.0,0.0,0.0,6.153394497232512e-05
1757377534,116961546,zed_imu_link,image_20250908_203524_123_000005.jpg,-0.00023495216737501323,0.000878431077580899,0.0015642845537513494,0.9999983310699463,3.7525787397421306e-10,2.422391294959428e-13,2.1808029169954766e-13,2.422389942186261e-13,5.881498606774744e-10,1.230043768377049e-12,2.18080359338206e-13,1.230043768377049e-12,3.3658911489202885e-10,-0.0016544659861775638,0.0012600272408639715,0.0009917878098246046,1.74158001281516e-06,0.0,0.0,0.0,2.0434884757269192e-06,0.0,0.0,0.0,1.3869792117610867e-06,-0.0248099472373724,-0.006838352885097265,9.788156509399414,3.904608092852868e-05,0.0,0.0,0.0,6.953559932298958e-05,0.0,0.0,0.0,6.299382948782295e-05
1757377534,127041546,zed_imu_link,image_20250908_203524_128_000006.jpg,-0.00029183083097450435,0.0008130543865263462,0.0015679261414334178,0.9999983310699463,3.752716571094571e-10,2.403738582146068e-13,2.131686936137503e-13,2.4037392585326513e-13,5.882503598193796e-10,1.2178880192529028e-12,2.1316874434274405e-13,1.2178880192529028e-12,3.3660507977983667e-10,-0.0005979051684521736,0.0007177987204640844,0.0004603797795502823,1.7876545488159997e-06,0.0,0.0,0.0,2.1710915992707308e-06,0.0,0.0,0.0,1.3560653066831841e-06,-0.005660318769514561,-0.018701354041695595,9.77148151397705,4.968184293829836e-05,0.0,0.0,0.0,7.137489592423663e-05,0.0,0.0,0.0,6.583621143363416e-05
