timestamp,x,y,yaw_deg
1757377533.9330015,0.0,0.0,0.0
1757377534.0,1.2216985704141077e-05,-3.622236219986087e-05,0.0012318882214270017
1757377535.0,0.0003248357128575407,-0.0006721575815391577,0.03042012199504815
1757377536.0,0.0006547902991948866,-0.0015646214283709557,0.06795437262941449
1757377537.0,0.001773613918541554,-0.0024230967815438006,0.10435694699269794
1757377538.0,0.002809419145641982,-0.0035351612850638594,0.14216662986231168
1757377539.0,0.0038347088800222127,-0.004925824536567063,0.16987882699907403
1757377540.0,0.004145940959363178,-0.006934963199679352,0.19793745868197724
1757377541.0,0.0047074557466605296,-0.01019250321588041,0.21151905793931133
1757377542.0,0.002952787474661938,-0.012653812506588896,0.23054417399187446
1757377543.0,0.0008798749484360579,-0.014829687496682509,0.23966478490310167
1757377544.0,-0.0010256917132921654,-0.017263774158271832,0.2528672032800316
1757377545.0,-0.0033996921651317,-0.019366815769683285,0.26345541502108605
1757377546.0,-0.005738876781424877,-0.02114321043952516,0.28999191967237214
1757377547.0,0.02293728294232372,-0.025287499427302323,0.3703188446774263
1757377548.0,0.199732781734466,-0.03510491995130886,0.37041743933422533
1757377549.0,0.3767460103441635,-0.05612542442631694,0.02972830727833322
1757377550.0,0.5132660988049096,-0.0807457411858542,359.45763425370507
1757377551.0,0.5916708619374195,-0.09889389298378501,358.57017040723076
1757377552.0,0.5132761445322935,-0.09134128911645223,358.495562542083
1757377553.0,0.551249381919305,-0.05758468470009131,11.051131870662502
1757377554.0,0.7382761071650343,-0.03320458720110003,40.09315404541935
1757377555.0,1.041343655963024,-0.10611118416387234,41.55939222135668
1757377556.0,1.5123568213744438,-0.0950564381756634,43.82231879173874
1757377557.0,1.9432038224797683,-0.15393789120762597,45.38327462257217
1757377558.0,2.3061208218594995,-0.28073329085365717,45.41962061226845
1757377559.0,2.5867546824784733,-0.47054269620154743,45.143280363909966
1757377560.0,2.7023979009613037,-0.8261226670074902,45.00789411532857
1757377561.0,2.827090762676472,-1.1387782868541356,59.552612277101396
1757377562.0,3.0113109120188724,-1.459066775312029,93.08522890392496
1757377563.0,3.37969460866239,-1.7907831929448683,127.21007720300727
1757377564.0,3.943216278130105,-2.0016643134631136,154.78760780909084
1757377565.0,4.702995788004396,-2.0859154528240746,173.3085988671042
1757377566.0,5.515360416753035,-2.025410122866045,177.2308833554045
1757377567.0,6.35525510131815,-1.9104856818076967,177.20570142390898
1757377568.0,7.007142195130809,-1.779939356447897,177.58629732936086
1757377569.0,7.673009029698838,-1.6517254456583301,178.72940930386864
1757377570.0,8.377353160386914,-1.5126919584727911,179.7120985833518
1757377571.0,9.048896610278439,-1.3790138627801651,178.86017337737638
1757377572.0,8.379175508254333,-0.15746543682200498,223.8050498873986
1757377573.0,8.379175508254333,-0.15746543682200498,223.8050498873986
1757377574.0,8.379175508254333,-0.15746543682200498,223.8050498873986
1757377575.0,8.379175508254333,-0.15746543682200498,223.8050498873986
1757377576.0,7.804571069619795,0.05444744660570409,236.93473060832017
1757377577.0,6.396792900873541,0.6461159764561942,260.73282530410916
1757377578.0,4.770428510220054,1.281804817947799,266.803749692741
1757377579.0,3.087331229352519,1.8967991701906222,266.7901069806374
1757377580.0,1.4092206186447167,2.4049243412759926,266.97130545843004
1757377581.0,-0.2824404090609618,2.784583070915229,267.0931260759554
1757377582.0,-1.9729583609239776,3.2152774148347283,267.00699042886833
1757377583.0,-3.6639359340567648,3.822432776919227,266.8323095573714
1757377584.0,-5.336144644037088,4.470357425456403,266.8405381106093
1757377585.0,-7.015667357284063,5.05601504279901,266.84877277345913
1757377586.0,-8.695481771167781,5.642328554237651,266.84870413620405
1757377587.0,-10.390504612913059,6.233178531006978,266.8302122141307
1757377588.0,-12.068433403487683,6.817223817741155,266.813955167745
1757377589.0,-13.74343174714644,7.406164093924317,266.8051341862748
1757377590.0,-15.425971929282051,8.022136668278256,266.77939106103264
1757377591.0,-17.118808432275276,8.65172406743815,266.76824633469306
1757377592.0,-18.80706434814095,9.279813614145079,266.75062288562356
1757377593.0,-20.49854239373093,9.909213589831694,266.73094035014
1757377594.0,-22.176509662283525,10.5338057120567,266.7214966022227
1757377595.0,-23.86345310780224,11.161478917422308,266.7230511229827
