timestamp,image_name,swift_latitude,swift_longitude,swift_heading,zed_x,zed_y,zed_yaw,gps_latitude,gps_longitude,gps_track
8:48:32,08_48_32.jpg,35.7713912,-78.67480598,211.0690646,-34.35279544,-79.93092222,-0.9406776285,35.77138817,-78.67479483,nan
8:48:34,08_48_34.jpg,35.77137356,-78.67481833,218.1707557,-32.59869839,-81.4261264,-2.005297847,35.77137467,-78.67479967,nan
8:48:36,08_48_36.jpg,35.77135698,-78.67484077,212.6095724,-30.79752814,-83.21837753,-4.578677695,35.7713595,-78.67481267,nan
8:48:38,08_48_38.jpg,35.77133125,-78.67485951,210.2415791,-28.23005134,-85.38099168,-1.69919587,35.77133483,-78.674827,211.6999969
8:48:40,08_48_40.jpg,35.77130655,-78.67487756,216.6425346,-25.95816522,-87.43896124,-3.881123801,35.7713145,-78.67485017,213.6999969
8:48:42,08_48_42.jpg,35.77128605,-78.67489669,213.9626767,-23.8503171,-89.32446219,-2.571351173,35.77129167,-78.67486683,215.5399933
8:48:44,08_48_44.jpg,35.77126414,-78.67491205,212.6508023,-21.72750766,-91.07461294,-0.8233563844,35.77127767,-78.67489217,214.0800018
8:48:46,08_48_46.jpg,35.77124325,-78.67492968,209.3879029,-19.47872367,-92.87099571,-3.047310409,35.77125917,-78.67491017,213.8399963
8:48:48,08_48_48.jpg,35.77121782,-78.67494485,210.6284172,-17.34521482,-94.89054628,-4.868323733,35.77123817,-78.67493183,214.1600037
8:48:50,08_48_50.jpg,35.77119782,-78.67496139,200.1094341,-15.3081618,-96.71163274,-2.320974633,35.771217,-78.674946,212.1100006
8:48:52,08_48_52.jpg,35.771178,-78.67497951,203.2714426,-13.29342792,-98.52787539,-2.314972418,35.77119767,-78.67496333,211.6699982
8:48:55,08_48_55.jpg,35.77115344,-78.67500192,215.7724408,-10.8725136,-100.6134941,-2.806052157,35.771166,-78.67498783,208.6199951
8:48:57,08_48_57.jpg,35.77113239,-78.67502223,215.4550357,-8.647046789,-102.5530184,-2.650046764,35.7711405,-78.674989,nan
8:48:59,08_48_59.jpg,35.77110972,-78.67503681,219.5915096,-6.319632514,-104.5119553,-3.570683939,35.77112367,-78.67500633,204.8399963
8:49:01,08_49_01.jpg,35.77108785,-78.6750455,211.9306821,-4.254798104,-106.4266309,-1.631436128,35.77110217,-78.67502267,206.1799927
8:49:03,08_49_03.jpg,35.77107013,-78.67506433,185.3861547,-2.145943226,-108.2643874,-5.370295268,35.77108217,-78.67504233,209.4299927
8:49:05,08_49_05.jpg,35.77104974,-78.6750904,226.9300018,0.07067899521,-110.4298733,-0.1311421419,35.77105983,-78.6750575,nan
8:49:07,08_49_07.jpg,35.7710266,-78.67510287,208.8996038,2.093986925,-112.219929,-1.422622059,35.7710405,-78.67507017,nan
8:49:09,08_49_09.jpg,35.77100424,-78.67512275,213.3497006,4.231584184,-114.0118287,-1.432374108,35.77101667,-78.6750735,201.75
8:49:11,08_49_11.jpg,35.77098039,-78.67513673,210.6399737,6.543922919,-115.9847073,-1.520522331,35.77099467,-78.67508317,198.1600037
8:49:13,08_49_13.jpg,35.77095418,-78.67515281,205.0299887,9.120229008,-117.8492966,-0.2158689214,35.77097283,-78.67509617,nan
8:49:15,08_49_15.jpg,35.7709277,-78.67516735,204.7917545,11.6428724,-119.7441466,-1.811194929,35.7709545,-78.6751195,nan
8:49:17,08_49_17.jpg,35.77090303,-78.67518301,215.5512819,14.02173529,-121.8995797,1.027502167,35.770933,-78.67513867,210.0700073
8:49:19,08_49_19.jpg,35.77087742,-78.67520354,210.2887145,16.6529298,-124.0790087,-4.618238124,35.77091317,-78.67516467,214.5700073
8:49:22,08_49_22.jpg,35.77085151,-78.67522375,211.8025272,19.23101444,-126.2857449,-2.421777753,35.77088317,-78.6752095,214.0299988
8:49:24,08_49_24.jpg,35.77082584,-78.67524025,214.4557158,21.56991459,-128.3748517,-1.068186367,35.7708585,-78.675226,214.4700012
8:49:26,08_49_26.jpg,35.77080585,-78.67525785,217.0051353,23.53205952,-130.0632328,-0.8236547004,35.77084067,-78.67524617,214.2299957
8:49:28,08_49_28.jpg,35.77078849,-78.67527901,219.1928308,25.29439622,-132.1169921,-3.064252085,35.77082583,-78.67526883,220.1799927
8:49:30,08_49_30.jpg,35.770765,-78.67530096,211.5302218,27.5626633,-134.4497375,-1.792190074,35.77080567,-78.67529267,224.6199951
8:49:32,08_49_32.jpg,35.77074095,-78.67532016,216.3280846,29.95019451,-136.5241532,-0.6877972386,35.770776,-78.675304,209.6000061
8:49:34,08_49_34.jpg,35.7707193,-78.67533593,211.0704163,32.18072934,-138.229562,-2.076452882,35.770756,-78.67532317,209.4900055
8:49:36,08_49_36.jpg,35.7706974,-78.67534809,203.6469231,34.37718205,-139.7080061,0.8274527689,35.770733,-78.67533317,207.3099976
8:49:38,08_49_38.jpg,35.77067117,-78.67536243,212.2328396,36.83782723,-141.427172,0.1215528033,35.77070717,-78.675344,204.7599945
8:49:40,08_49_40.jpg,35.77064547,-78.67537746,205.7419419,39.29915233,-143.4047039,-0.4976346952,35.77067983,-78.6753585,207.0099945
8:49:42,08_49_42.jpg,35.77062218,-78.67539524,211.5140726,41.48409023,-145.268043,0.06825460325,35.77065767,-78.67537567,211.6100006
