frame                                    | matched    | sgil_err_m | gps_err_m  | gps_pose                         | rtk_pose                         | current_pose                     | estimated_pose
images/image_00003271.png                | False      |      24.07 |      11.35 | (x=34.85, y=-120.31, yaw=-92.83°) | (x=45.62, y=-123.90, yaw=-92.83°) | (x=56.38, y=-145.43, yaw=-92.83°) | (x=56.38, y=-145.43, yaw=-92.83°)
images/image_00003286.png                | False      |      25.09 |      10.86 | (x=34.88, y=-125.64, yaw=-92.82°) | (x=45.44, y=-128.19, yaw=-92.82°) | (x=56.41, y=-150.76, yaw=-92.82°) | (x=56.41, y=-150.76, yaw=-92.82°)
images/image_00003301.png                | False      |      26.09 |      10.56 | (x=34.84, y=-129.78, yaw=-93.10°) | (x=45.29, y=-131.27, yaw=-93.10°) | (x=56.37, y=-154.90, yaw=-93.10°) | (x=56.37, y=-154.90, yaw=-93.10°)
images/image_00003316.png                | False      |      27.53 |      10.19 | (x=35.01, y=-132.97, yaw=-93.35°) | (x=45.20, y=-133.01, yaw=-93.35°) | (x=56.54, y=-158.09, yaw=-93.35°) | (x=56.54, y=-158.09, yaw=-93.35°)
images/image_00003332.png                | False      |      28.85 |       9.72 | (x=34.41, y=-133.74, yaw=117.84°) | (x=44.06, y=-132.57, yaw=117.84°) | (x=55.94, y=-158.86, yaw=117.84°) | (x=55.94, y=-158.86, yaw=117.84°)
images/image_00003347.png                | True       |      28.19 |       9.23 | (x=35.79, y=-135.00, yaw=-118.64°) | (x=44.90, y=-133.53, yaw=-118.64°) | (x=57.32, y=-160.11, yaw=-118.64°) | (x=59.03, y=-157.92, yaw=-118.64°)
images/image_00003362.png                | False      |      28.37 |       8.91 | (x=36.22, y=-134.99, yaw=-111.34°) | (x=45.01, y=-133.50, yaw=-111.34°) | (x=59.46, y=-157.91, yaw=-111.34°) | (x=59.46, y=-157.91, yaw=-111.34°)
images/image_00003377.png                | False      |      28.57 |       8.46 | (x=36.60, y=-134.98, yaw=-118.68°) | (x=44.94, y=-133.53, yaw=-118.68°) | (x=59.84, y=-157.90, yaw=-118.68°) | (x=59.84, y=-157.90, yaw=-118.68°)
images/image_00003392.png                | False      |      28.83 |       7.99 | (x=37.20, y=-134.97, yaw=-110.01°) | (x=45.06, y=-133.51, yaw=-110.01°) | (x=60.44, y=-157.89, yaw=-110.01°) | (x=60.44, y=-157.89, yaw=-110.01°)
images/image_00003407.png                | False      |      29.23 |       7.49 | (x=37.63, y=-135.13, yaw=-120.37°) | (x=44.95, y=-133.55, yaw=-120.37°) | (x=60.88, y=-158.06, yaw=-120.37°) | (x=60.88, y=-158.06, yaw=-120.37°)
images/image_00003422.png                | False      |      29.59 |       7.05 | (x=38.25, y=-135.23, yaw=-110.04°) | (x=45.09, y=-133.52, yaw=-110.04°) | (x=61.50, y=-158.15, yaw=-110.04°) | (x=61.50, y=-158.15, yaw=-110.04°)
images/image_00003437.png                | False      |      29.94 |       6.62 | (x=38.85, y=-135.27, yaw=-97.94°) | (x=45.22, y=-133.46, yaw=-97.94°) | (x=62.10, y=-158.19, yaw=-97.94°) | (x=62.10, y=-158.19, yaw=-97.94°)
images/image_00003452.png                | False      |      30.37 |       6.14 | (x=39.40, y=-135.37, yaw=-94.38°) | (x=45.22, y=-133.42, yaw=-94.38°) | (x=62.64, y=-158.30, yaw=-94.38°) | (x=62.64, y=-158.30, yaw=-94.38°)
images/image_00003467.png                | False      |      30.75 |       5.64 | (x=39.95, y=-135.52, yaw=-93.78°) | (x=45.21, y=-133.50, yaw=-93.78°) | (x=63.19, y=-158.44, yaw=-93.78°) | (x=63.19, y=-158.44, yaw=-93.78°)
images/image_00003482.png                | False      |      30.98 |       5.14 | (x=40.43, y=-135.68, yaw=-93.45°) | (x=45.19, y=-133.74, yaw=-93.45°) | (x=63.68, y=-158.60, yaw=-93.45°) | (x=63.68, y=-158.60, yaw=-93.45°)
images/image_00003498.png                | False      |      31.29 |       4.85 | (x=39.68, y=-135.09, yaw=117.68°) | (x=44.07, y=-133.04, yaw=117.68°) | (x=62.92, y=-158.02, yaw=117.68°) | (x=62.92, y=-158.02, yaw=117.68°)
images/image_00003513.png                | False      |      31.66 |       4.55 | (x=40.05, y=-135.29, yaw=121.83°) | (x=44.04, y=-133.09, yaw=121.83°) | (x=63.30, y=-158.22, yaw=121.83°) | (x=63.30, y=-158.22, yaw=121.83°)
images/image_00003528.png                | False      |      31.94 |       4.27 | (x=40.37, y=-135.60, yaw=141.17°) | (x=43.99, y=-133.33, yaw=141.17°) | (x=63.61, y=-158.53, yaw=141.17°) | (x=63.61, y=-158.53, yaw=141.17°)
images/image_00003543.png                | True       |      36.69 |       3.96 | (x=41.80, y=-136.18, yaw=-95.26°) | (x=45.09, y=-133.98, yaw=-95.26°) | (x=65.04, y=-159.10, yaw=-95.26°) | (x=68.38, y=-162.34, yaw=-95.26°)
images/image_00003573.png                | False      |      35.76 |       2.96 | (x=42.05, y=-136.89, yaw=-94.46°) | (x=44.94, y=-136.27, yaw=-94.46°) | (x=68.63, y=-163.06, yaw=-94.46°) | (x=68.63, y=-163.06, yaw=-94.46°)
images/image_00003588.png                | False      |      35.01 |       2.79 | (x=42.07, y=-138.42, yaw=-90.62°) | (x=44.81, y=-138.95, yaw=-90.62°) | (x=68.65, y=-164.59, yaw=-90.62°) | (x=68.65, y=-164.59, yaw=-90.62°)
images/image_00003603.png                | False      |      34.45 |       3.07 | (x=42.38, y=-140.98, yaw=-78.28°) | (x=45.20, y=-142.20, yaw=-78.28°) | (x=68.96, y=-167.15, yaw=-78.28°) | (x=68.96, y=-167.15, yaw=-78.28°)
images/image_00003618.png                | False      |      33.76 |       3.86 | (x=42.93, y=-144.03, yaw=-63.34°) | (x=46.51, y=-145.48, yaw=-63.34°) | (x=69.50, y=-170.20, yaw=-63.34°) | (x=69.50, y=-170.20, yaw=-63.34°)
images/image_00003633.png                | True       |      31.57 |       4.75 | (x=44.18, y=-146.93, yaw=-47.74°) | (x=48.69, y=-148.40, yaw=-47.74°) | (x=70.76, y=-173.09, yaw=-47.74°) | (x=71.25, y=-170.48, yaw=-42.74°)
images/image_00003648.png                | True       |      27.43 |       5.45 | (x=46.28, y=-149.73, yaw=-34.21°) | (x=51.62, y=-150.84, yaw=-34.21°) | (x=73.36, y=-173.29, yaw=-34.21°) | (x=71.81, y=-169.41, yaw=-34.21°)
images/image_00003663.png                | True       |      24.37 |       6.79 | (x=48.58, y=-151.54, yaw=-16.25°) | (x=55.33, y=-152.31, yaw=-16.25°) | (x=74.11, y=-171.22, yaw=-16.25°) | (x=73.44, y=-168.63, yaw=-16.25°)
images/image_00003678.png                | True       |      25.39 |       7.63 | (x=51.69, y=-152.85, yaw=-7.60°) | (x=59.32, y=-153.00, yaw=-7.60°) | (x=76.55, y=-169.94, yaw=-7.60°) | (x=78.92, y=-169.13, yaw=-7.60°)
images/image_00003694.png                | False      |      24.89 |       8.73 | (x=55.53, y=-153.72, yaw=-3.10°) | (x=64.25, y=-153.36, yaw=-3.10°) | (x=82.75, y=-170.00, yaw=-3.10°) | (x=82.75, y=-170.00, yaw=-3.10°)
images/image_00003709.png                | False      |      24.72 |       9.09 | (x=60.07, y=-154.13, yaw=-2.97°) | (x=69.15, y=-153.62, yaw=-2.97°) | (x=87.30, y=-170.40, yaw=-2.97°) | (x=87.30, y=-170.40, yaw=-2.97°)
images/image_00003724.png                | False      |      24.14 |      10.01 | (x=64.49, y=-154.37, yaw=-1.64°) | (x=74.47, y=-153.75, yaw=-1.64°) | (x=91.71, y=-170.65, yaw=-1.64°) | (x=91.71, y=-170.65, yaw=-1.64°)
images/image_00003739.png                | False      |      23.68 |      10.71 | (x=69.46, y=-154.62, yaw=-2.19°) | (x=80.15, y=-153.94, yaw=-2.19°) | (x=96.69, y=-170.90, yaw=-2.19°) | (x=96.69, y=-170.90, yaw=-2.19°)
images/image_00003754.png                | False      |      23.58 |      10.83 | (x=75.27, y=-154.83, yaw=-2.64°) | (x=86.09, y=-154.17, yaw=-2.64°) | (x=102.50, y=-171.10, yaw=-2.64°) | (x=102.50, y=-171.10, yaw=-2.64°)
images/image_00003769.png                | True       |       9.97 |      10.93 | (x=81.31, y=-155.02, yaw=-3.25°) | (x=92.23, y=-154.54, yaw=-3.25°) | (x=108.54, y=-171.30, yaw=-3.25°) | (x=89.55, y=-164.15, yaw=-3.25°)
images/image_00003784.png                | False      |       9.99 |      11.14 | (x=87.39, y=-155.24, yaw=-2.73°) | (x=98.53, y=-154.81, yaw=-2.73°) | (x=95.63, y=-164.37, yaw=-2.73°) | (x=95.63, y=-164.37, yaw=-2.73°)
images/image_00003799.png                | False      |       9.96 |      11.08 | (x=94.11, y=-155.43, yaw=-2.06°) | (x=105.19, y=-155.02, yaw=-2.06°) | (x=102.35, y=-164.56, yaw=-2.06°) | (x=102.35, y=-164.56, yaw=-2.06°)
images/image_00003814.png                | False      |       9.95 |      11.14 | (x=100.75, y=-155.60, yaw=-1.69°) | (x=111.88, y=-155.21, yaw=-1.69°) | (x=108.99, y=-164.73, yaw=-1.69°) | (x=108.99, y=-164.73, yaw=-1.69°)
images/image_00003829.png                | True       |       6.46 |      11.28 | (x=107.62, y=-155.64, yaw=-1.90°) | (x=118.89, y=-155.42, yaw=-1.90°) | (x=115.85, y=-164.77, yaw=-1.90°) | (x=118.18, y=-161.84, yaw=3.10°)
images/image_00003845.png                | True       |       2.88 |      12.50 | (x=114.20, y=-155.14, yaw=-0.54°) | (x=126.68, y=-155.64, yaw=-0.54°) | (x=124.76, y=-161.35, yaw=-0.54°) | (x=125.25, y=-158.13, yaw=-2.54°)
images/image_00003859.png                | True       |      21.13 |      12.10 | (x=121.37, y=-155.56, yaw=2.48°) | (x=133.46, y=-155.50, yaw=2.48°) | (x=132.42, y=-158.55, yaw=2.48°) | (x=153.43, y=-162.43, yaw=3.48°)
images/image_00003874.png                | True       |       6.50 |      11.67 | (x=129.14, y=-155.20, yaw=3.72°) | (x=140.81, y=-155.03, yaw=3.72°) | (x=161.20, y=-162.06, yaw=3.72°) | (x=146.96, y=-157.16, yaw=3.72°)
images/image_00003890.png                | True       |       2.65 |      11.66 | (x=136.78, y=-154.54, yaw=2.69°) | (x=148.44, y=-154.62, yaw=2.69°) | (x=154.60, y=-156.50, yaw=2.69°) | (x=150.74, y=-155.93, yaw=-2.31°)
images/image_00003905.png                | True       |      10.35 |      11.23 | (x=144.54, y=-154.38, yaw=1.69°) | (x=155.77, y=-154.34, yaw=1.69°) | (x=158.50, y=-155.78, yaw=1.69°) | (x=148.06, y=-147.44, yaw=1.69°)
images/image_00003920.png                | True       |      11.92 |      11.18 | (x=151.91, y=-154.85, yaw=0.44°) | (x=163.08, y=-154.19, yaw=0.44°) | (x=155.43, y=-147.92, yaw=0.44°) | (x=152.95, y=-147.91, yaw=-1.56°)
images/image_00003935.png                | False      |      11.35 |      10.86 | (x=159.37, y=-155.40, yaw=-0.82°) | (x=170.17, y=-154.25, yaw=-0.82°) | (x=160.41, y=-148.46, yaw=-0.82°) | (x=160.41, y=-148.46, yaw=-0.82°)
images/image_00003950.png                | True       |      16.29 |      10.35 | (x=166.98, y=-155.78, yaw=-1.16°) | (x=177.24, y=-154.38, yaw=-1.16°) | (x=168.02, y=-148.84, yaw=-1.16°) | (x=162.66, y=-147.12, yaw=-1.16°)
images/image_00003965.png                | True       |      16.77 |       9.61 | (x=174.15, y=-156.44, yaw=-2.30°) | (x=183.60, y=-154.65, yaw=-2.30°) | (x=169.83, y=-147.78, yaw=-2.30°) | (x=169.43, y=-145.67, yaw=-2.30°)
images/image_00003980.png                | True       |      16.21 |       9.00 | (x=181.02, y=-156.57, yaw=-2.66°) | (x=189.86, y=-154.89, yaw=-2.66°) | (x=176.30, y=-145.80, yaw=-2.66°) | (x=175.26, y=-147.85, yaw=-7.66°)
images/image_00003995.png                | True       |      15.02 |       7.83 | (x=187.81, y=-156.95, yaw=-3.11°) | (x=195.43, y=-155.17, yaw=-3.11°) | (x=182.05, y=-148.22, yaw=-3.11°) | (x=183.21, y=-146.45, yaw=-1.11°)
images/image_00004010.png                | True       |      12.07 |       7.87 | (x=193.37, y=-159.35, yaw=-4.38°) | (x=200.18, y=-155.40, yaw=-4.38°) | (x=188.77, y=-148.86, yaw=-4.38°) | (x=190.65, y=-147.98, yaw=-4.38°)
images/image_00004025.png                | True       |       8.78 |      10.50 | (x=196.33, y=-163.31, yaw=-2.81°) | (x=203.38, y=-155.53, yaw=-2.81°) | (x=193.60, y=-151.94, yaw=-2.81°) | (x=195.12, y=-152.54, yaw=2.19°)
images/image_00004040.png                | True       |       9.19 |       7.38 | (x=205.53, y=-162.51, yaw=-1.05°) | (x=208.45, y=-155.74, yaw=-1.05°) | (x=204.32, y=-151.75, yaw=-1.05°) | (x=201.88, y=-149.32, yaw=-0.05°)
images/image_00004071.png                | False      |      10.73 |       8.06 | (x=205.90, y=-162.41, yaw=-2.07°) | (x=210.64, y=-155.90, yaw=-2.07°) | (x=202.24, y=-149.22, yaw=-2.07°) | (x=202.24, y=-149.22, yaw=-2.07°)
images/image_00004085.png                | False      |      11.73 |       9.97 | (x=206.46, y=-163.03, yaw=12.75°) | (x=213.05, y=-155.55, yaw=12.75°) | (x=202.80, y=-149.84, yaw=12.75°) | (x=202.80, y=-149.84, yaw=12.75°)
images/image_00004101.png                | True       |      14.51 |      12.19 | (x=208.22, y=-163.31, yaw=38.63°) | (x=215.95, y=-153.88, yaw=38.63°) | (x=204.57, y=-150.12, yaw=38.63°) | (x=207.35, y=-142.19, yaw=38.63°)
images/image_00004116.png                | True       |      11.65 |      13.96 | (x=210.17, y=-162.62, yaw=64.20°) | (x=217.87, y=-150.98, yaw=64.20°) | (x=209.29, y=-141.50, yaw=64.20°) | (x=211.03, y=-141.55, yaw=67.20°)
images/image_00004131.png                | True       |      19.39 |      14.39 | (x=212.15, y=-159.67, yaw=75.27°) | (x=219.01, y=-147.02, yaw=75.27°) | (x=213.01, y=-138.60, yaw=75.27°) | (x=204.92, y=-160.34, yaw=76.27°)
images/image_00004146.png                | True       |       8.02 |      14.92 | (x=213.72, y=-155.80, yaw=77.28°) | (x=220.13, y=-142.33, yaw=77.28°) | (x=206.49, y=-156.48, yaw=77.28°) | (x=212.52, y=-144.87, yaw=81.28°)
images/image_00004161.png                | True       |      10.33 |      15.17 | (x=214.82, y=-150.87, yaw=80.02°) | (x=221.23, y=-137.12, yaw=80.02°) | (x=213.62, y=-139.94, yaw=80.02°) | (x=211.39, y=-140.24, yaw=84.02°)
images/image_00004176.png                | True       |      23.19 |      15.53 | (x=215.75, y=-145.37, yaw=84.63°) | (x=221.97, y=-131.14, yaw=84.63°) | (x=212.32, y=-134.75, yaw=84.63°) | (x=206.63, y=-148.54, yaw=87.63°)
images/image_00004191.png                | True       |      29.81 |      15.56 | (x=216.59, y=-139.12, yaw=85.64°) | (x=222.51, y=-124.73, yaw=85.64°) | (x=207.47, y=-142.29, yaw=85.64°) | (x=203.19, y=-147.44, yaw=85.64°)
images/image_00004206.png                | True       |      14.97 |      15.49 | (x=217.59, y=-132.69, yaw=86.59°) | (x=222.91, y=-118.15, yaw=86.59°) | (x=204.19, y=-141.01, yaw=86.59°) | (x=211.79, y=-128.17, yaw=85.59°)
images/image_00004221.png                | True       |      16.82 |      15.61 | (x=218.05, y=-125.96, yaw=86.86°) | (x=223.24, y=-111.24, yaw=86.86°) | (x=212.26, y=-121.44, yaw=86.86°) | (x=210.58, y=-122.31, yaw=81.86°)
images/image_00004236.png                | True       |      16.13 |      15.33 | (x=218.51, y=-118.76, yaw=87.15°) | (x=223.58, y=-104.29, yaw=87.15°) | (x=211.05, y=-115.12, yaw=87.15°) | (x=211.28, y=-114.72, yaw=85.15°)
images/image_00004251.png                | True       |      11.93 |      14.99 | (x=218.67, y=-111.57, yaw=87.90°) | (x=223.88, y=-97.51, yaw=87.90°) | (x=211.44, y=-107.53, yaw=87.90°) | (x=213.23, y=-102.89, yaw=89.90°)
images/image_00004266.png                | True       |      14.57 |      14.51 | (x=219.07, y=-104.71, yaw=88.38°) | (x=224.09, y=-91.09, yaw=88.38°) | (x=213.63, y=-96.03, yaw=88.38°) | (x=211.58, y=-98.56, yaw=88.38°)
images/image_00004282.png                | True       |      22.89 |      14.56 | (x=219.54, y=-98.21, yaw=88.04°) | (x=224.38, y=-84.48, yaw=88.04°) | (x=212.05, y=-92.06, yaw=88.04°) | (x=207.72, y=-100.18, yaw=87.04°)
images/image_00004297.png                | True       |      23.00 |      13.98 | (x=219.71, y=-91.76, yaw=87.98°) | (x=224.52, y=-78.63, yaw=87.98°) | (x=207.88, y=-93.72, yaw=87.98°) | (x=209.93, y=-96.41, yaw=85.98°)
images/image_00004312.png                | True       |      14.99 |      13.31 | (x=220.19, y=-85.91, yaw=88.20°) | (x=224.69, y=-73.39, yaw=88.20°) | (x=210.41, y=-90.57, yaw=88.20°) | (x=213.77, y=-83.66, yaw=88.20°)
images/image_00004327.png                | True       |      15.44 |      12.45 | (x=220.51, y=-80.65, yaw=89.21°) | (x=224.91, y=-69.00, yaw=89.21°) | (x=214.09, y=-78.40, yaw=89.21°) | (x=212.27, y=-77.87, yaw=89.21°)
images/image_00004342.png                | True       |      16.96 |      11.31 | (x=220.97, y=-76.33, yaw=88.79°) | (x=225.05, y=-65.77, yaw=88.79°) | (x=212.72, y=-73.54, yaw=88.79°) | (x=210.18, y=-73.93, yaw=85.79°)
images/image_00004357.png                | True       |      26.10 |      10.05 | (x=221.30, y=-72.89, yaw=88.26°) | (x=225.14, y=-63.60, yaw=88.26°) | (x=210.51, y=-70.49, yaw=88.26°) | (x=203.84, y=-78.68, yaw=87.26°)
images/image_00004372.png                | True       |      25.01 |       8.77 | (x=221.47, y=-70.59, yaw=92.62°) | (x=225.13, y=-62.62, yaw=92.62°) | (x=204.01, y=-76.38, yaw=92.62°) | (x=204.65, y=-76.97, yaw=87.62°)
images/image_00004387.png                | False      |      24.47 |       7.80 | (x=221.24, y=-70.14, yaw=160.80°) | (x=225.02, y=-63.33, yaw=160.80°) | (x=204.42, y=-76.53, yaw=160.80°) | (x=204.42, y=-76.53, yaw=160.80°)
images/image_00004402.png                | False      |      24.24 |       7.47 | (x=221.35, y=-69.86, yaw=165.36°) | (x=225.08, y=-63.38, yaw=165.36°) | (x=204.53, y=-76.24, yaw=165.36°) | (x=204.53, y=-76.24, yaw=165.36°)
images/image_00004447.png                | False      |      23.90 |       7.15 | (x=221.91, y=-69.94, yaw=-163.38°) | (x=225.36, y=-63.67, yaw=-163.38°) | (x=205.09, y=-76.32, yaw=-163.38°) | (x=205.09, y=-76.32, yaw=-163.38°)
images/image_00004493.png                | True       |      22.28 |       6.89 | (x=222.05, y=-68.72, yaw=97.86°) | (x=225.20, y=-62.60, yaw=97.86°) | (x=205.23, y=-75.11, yaw=97.86°) | (x=204.64, y=-71.17, yaw=97.86°)
images/image_00004523.png                | False      |      22.30 |       7.39 | (x=222.40, y=-68.46, yaw=88.40°) | (x=225.28, y=-61.65, yaw=88.40°) | (x=204.99, y=-70.90, yaw=88.40°) | (x=204.99, y=-70.90, yaw=88.40°)
images/image_00004538.png                | False      |      22.45 |       7.94 | (x=222.61, y=-67.76, yaw=87.36°) | (x=225.35, y=-60.31, yaw=87.36°) | (x=205.20, y=-70.21, yaw=87.36°) | (x=205.20, y=-70.21, yaw=87.36°)
images/image_00004553.png                | True       |      21.99 |       8.68 | (x=222.76, y=-66.41, yaw=87.51°) | (x=225.43, y=-58.15, yaw=87.51°) | (x=205.35, y=-68.85, yaw=87.51°) | (x=207.37, y=-70.70, yaw=87.51°)
images/image_00004568.png                | False      |      22.35 |       9.32 | (x=222.91, y=-64.20, yaw=87.47°) | (x=225.54, y=-55.26, yaw=87.47°) | (x=207.52, y=-68.49, yaw=87.47°) | (x=207.52, y=-68.49, yaw=87.47°)
images/image_00004583.png                | True       |      48.83 |       9.93 | (x=223.13, y=-61.25, yaw=87.70°) | (x=225.69, y=-51.66, yaw=87.70°) | (x=207.75, y=-65.54, yaw=87.70°) | (x=192.80, y=-87.75, yaw=84.70°)
images/image_00004598.png                | False      |      49.28 |      10.51 | (x=223.29, y=-57.43, yaw=88.17°) | (x=225.86, y=-47.24, yaw=88.17°) | (x=192.96, y=-83.93, yaw=88.17°) | (x=192.96, y=-83.93, yaw=88.17°)
images/image_00004613.png                | False      |      49.76 |      11.17 | (x=223.42, y=-52.94, yaw=89.98°) | (x=225.94, y=-42.06, yaw=89.98°) | (x=193.10, y=-79.44, yaw=89.98°) | (x=193.10, y=-79.44, yaw=89.98°)
images/image_00004628.png                | False      |      50.08 |      11.75 | (x=223.57, y=-47.73, yaw=90.37°) | (x=225.83, y=-36.20, yaw=90.37°) | (x=193.24, y=-74.23, yaw=90.37°) | (x=193.24, y=-74.23, yaw=90.37°)
images/image_00004644.png                | False      |      50.65 |      12.60 | (x=223.55, y=-41.86, yaw=91.50°) | (x=225.62, y=-29.43, yaw=91.50°) | (x=193.22, y=-68.36, yaw=91.50°) | (x=193.22, y=-68.36, yaw=91.50°)
images/image_00004659.png                | False      |      50.85 |      12.89 | (x=223.41, y=-35.55, yaw=91.42°) | (x=225.44, y=-22.82, yaw=91.42°) | (x=193.08, y=-62.05, yaw=91.42°) | (x=193.08, y=-62.05, yaw=91.42°)
images/image_00004674.png                | False      |      51.35 |      13.53 | (x=223.33, y=-29.12, yaw=90.10°) | (x=225.36, y=-15.74, yaw=90.10°) | (x=193.01, y=-55.62, yaw=90.10°) | (x=193.01, y=-55.62, yaw=90.10°)
images/image_00004689.png                | False      |      51.71 |      14.48 | (x=224.11, y=-22.78, yaw=88.80°) | (x=225.41, y=-8.36, yaw=88.80°)  | (x=193.79, y=-49.28, yaw=88.80°) | (x=193.79, y=-49.28, yaw=88.80°)
images/image_00004704.png                | False      |      52.44 |      16.34 | (x=225.69, y=-17.19, yaw=88.03°) | (x=225.59, y=-0.85, yaw=88.03°)  | (x=195.36, y=-43.69, yaw=88.03°) | (x=195.36, y=-43.69, yaw=88.03°)
images/image_00004719.png                | False      |      52.26 |      16.62 | (x=226.63, y=-9.53, yaw=88.02°)  | (x=225.87, y=7.07, yaw=88.02°)   | (x=196.31, y=-36.03, yaw=88.02°) | (x=196.31, y=-36.03, yaw=88.02°)
images/image_00004734.png                | False      |      52.23 |      16.60 | (x=226.97, y=-1.47, yaw=87.84°)  | (x=226.17, y=15.11, yaw=87.84°)  | (x=196.64, y=-27.97, yaw=87.84°) | (x=196.64, y=-27.97, yaw=87.84°)
images/image_00004749.png                | False      |      52.22 |      16.54 | (x=227.17, y=6.76, yaw=88.37°)   | (x=226.44, y=23.29, yaw=88.37°)  | (x=196.85, y=-19.74, yaw=88.37°) | (x=196.85, y=-19.74, yaw=88.37°)
images/image_00004764.png                | False      |      52.08 |      16.33 | (x=227.31, y=15.35, yaw=88.59°)  | (x=226.62, y=31.67, yaw=88.59°)  | (x=196.98, y=-11.15, yaw=88.59°) | (x=196.98, y=-11.15, yaw=88.59°)
images/image_00004779.png                | False      |      52.18 |      16.63 | (x=227.76, y=23.82, yaw=88.71°)  | (x=226.84, y=40.42, yaw=88.71°)  | (x=197.43, y=-2.67, yaw=88.71°)  | (x=197.43, y=-2.67, yaw=88.71°)
images/image_00004794.png                | False      |      51.97 |      16.77 | (x=228.59, y=32.29, yaw=88.44°)  | (x=227.14, y=48.99, yaw=88.44°)  | (x=198.26, y=5.79, yaw=88.44°)   | (x=198.26, y=5.79, yaw=88.44°)
images/image_00004809.png                | False      |      51.93 |      17.12 | (x=229.40, y=40.89, yaw=88.75°)  | (x=227.43, y=57.90, yaw=88.75°)  | (x=199.07, y=14.39, yaw=88.75°)  | (x=199.07, y=14.39, yaw=88.75°)
images/image_00004825.png                | False      |      51.36 |      17.88 | (x=231.50, y=49.41, yaw=88.86°)  | (x=227.72, y=66.89, yaw=88.86°)  | (x=201.18, y=22.91, yaw=88.86°)  | (x=201.18, y=22.91, yaw=88.86°)
images/image_00004840.png                | False      |      51.64 |      18.71 | (x=232.35, y=57.28, yaw=88.80°)  | (x=227.92, y=75.45, yaw=88.80°)  | (x=202.02, y=30.78, yaw=88.80°)  | (x=202.02, y=30.78, yaw=88.80°)
images/image_00004855.png                | True       |      48.57 |      19.74 | (x=232.91, y=64.82, yaw=89.31°)  | (x=228.07, y=83.96, yaw=89.31°)  | (x=202.59, y=38.32, yaw=89.31°)  | (x=207.03, y=40.18, yaw=91.31°)
images/image_00004870.png                | False      |      48.42 |      19.64 | (x=233.11, y=73.43, yaw=89.73°)  | (x=228.17, y=92.44, yaw=89.73°)  | (x=207.22, y=48.79, yaw=89.73°)  | (x=207.22, y=48.79, yaw=89.73°)
images/image_00004885.png                | True       |      39.04 |      19.79 | (x=231.51, y=81.20, yaw=89.77°)  | (x=228.18, y=100.71, yaw=89.77°) | (x=205.63, y=56.56, yaw=89.77°)  | (x=212.35, y=65.03, yaw=89.77°)
images/image_00004900.png                | False      |      39.38 |      19.75 | (x=230.89, y=88.92, yaw=89.60°)  | (x=228.25, y=108.49, yaw=89.60°) | (x=211.73, y=72.75, yaw=89.60°)  | (x=211.73, y=72.75, yaw=89.60°)
images/image_00004915.png                | False      |      39.16 |      19.19 | (x=230.44, y=96.73, yaw=89.72°)  | (x=228.33, y=115.81, yaw=89.72°) | (x=211.28, y=80.56, yaw=89.72°)  | (x=211.28, y=80.56, yaw=89.72°)
images/image_00004930.png                | False      |      36.87 |      18.91 | (x=233.92, y=103.96, yaw=89.94°) | (x=228.38, y=122.05, yaw=89.94°) | (x=214.75, y=87.79, yaw=89.94°)  | (x=214.75, y=87.79, yaw=89.94°)
images/image_00004945.png                | True       |      41.93 |      20.23 | (x=236.25, y=108.88, yaw=89.55°) | (x=228.47, y=127.56, yaw=89.55°) | (x=217.09, y=92.71, yaw=89.55°)  | (x=215.15, y=87.80, yaw=87.55°)
images/image_00004960.png                | True       |      42.67 |      21.93 | (x=238.92, y=113.09, yaw=94.26°) | (x=228.41, y=132.35, yaw=94.26°) | (x=217.82, y=92.01, yaw=94.26°)  | (x=214.60, y=91.97, yaw=90.26°)
images/image_00004975.png                | True       |      37.47 |      24.47 | (x=241.69, y=116.74, yaw=111.51°) | (x=227.51, y=136.68, yaw=111.51°) | (x=217.37, y=95.62, yaw=111.51°) | (x=216.59, y=100.84, yaw=111.51°)
images/image_00004991.png                | False      |      37.93 |      29.40 | (x=245.12, y=118.70, yaw=135.98°) | (x=225.24, y=140.36, yaw=135.98°) | (x=220.02, y=102.79, yaw=135.98°) | (x=220.02, y=102.79, yaw=135.98°)
images/image_00005005.png                | False      |      38.25 |      32.21 | (x=245.10, y=119.94, yaw=157.50°) | (x=221.86, y=142.24, yaw=157.50°) | (x=220.00, y=104.03, yaw=157.50°) | (x=220.00, y=104.03, yaw=157.50°)
images/image_00005036.png                | False      |      40.39 |      39.73 | (x=244.23, y=119.71, yaw=176.67°) | (x=212.52, y=143.66, yaw=176.67°) | (x=219.13, y=103.81, yaw=176.67°) | (x=219.13, y=103.81, yaw=176.67°)
images/image_00005050.png                | False      |      41.73 |      42.68 | (x=242.32, y=119.16, yaw=178.13°) | (x=207.50, y=143.84, yaw=178.13°) | (x=217.21, y=103.26, yaw=178.13°) | (x=217.21, y=103.26, yaw=178.13°)
images/image_00005066.png                | False      |      42.61 |      44.27 | (x=238.58, y=118.82, yaw=178.37°) | (x=202.18, y=144.01, yaw=178.37°) | (x=213.48, y=102.92, yaw=178.37°) | (x=213.48, y=102.92, yaw=178.37°)
images/image_00005081.png                | False      |      46.31 |      48.44 | (x=236.40, y=116.02, yaw=178.64°) | (x=196.97, y=144.15, yaw=178.64°) | (x=211.30, y=100.12, yaw=178.64°) | (x=211.30, y=100.12, yaw=178.64°)
