frame                                    | matched    | sgil_err_m | gps_err_m  | gps_pose                         | rtk_pose                         | current_pose                     | estimated_pose
images/image_00001987.png                | False      |      62.41 |      33.46 | (x=-10.90, y=134.47, yaw=178.28°) | (x=-37.72, y=154.48, yaw=178.28°) | (x=1.31, y=105.78, yaw=178.28°)  | (x=1.31, y=105.78, yaw=178.28°)
images/image_00002001.png                | False      |      61.53 |      32.29 | (x=-19.57, y=134.54, yaw=178.68°) | (x=-44.81, y=154.67, yaw=178.68°) | (x=-7.36, y=105.85, yaw=178.68°) | (x=-7.36, y=105.85, yaw=178.68°)
images/image_00002017.png                | False      |      61.18 |      31.89 | (x=-27.53, y=134.79, yaw=179.30°) | (x=-52.36, y=154.80, yaw=179.30°) | (x=-15.31, y=106.10, yaw=179.30°) | (x=-15.31, y=106.10, yaw=179.30°)
images/image_00002032.png                | False      |      60.11 |      30.72 | (x=-34.74, y=135.39, yaw=178.95°) | (x=-58.48, y=154.88, yaw=178.95°) | (x=-22.53, y=106.70, yaw=178.95°) | (x=-22.53, y=106.70, yaw=178.95°)
images/image_00002047.png                | False      |      58.66 |      29.06 | (x=-41.12, y=136.04, yaw=178.91°) | (x=-63.18, y=154.96, yaw=178.91°) | (x=-28.91, y=107.35, yaw=178.91°) | (x=-28.91, y=107.35, yaw=178.91°)
images/image_00002059.png                | False      |      33.67 |       3.10 | (x=-240.39, y=26.63, yaw=-94.44°) | (x=-243.11, y=28.12, yaw=-94.44°) | (x=-228.17, y=-2.05, yaw=-94.44°) | (x=-228.17, y=-2.05, yaw=-94.44°)
images/image_00002089.png                | False      |      30.87 |       3.17 | (x=-240.41, y=25.25, yaw=-86.16°) | (x=-243.12, y=23.60, yaw=-86.16°) | (x=-228.20, y=-3.43, yaw=-86.16°) | (x=-228.20, y=-3.43, yaw=-86.16°)
images/image_00002104.png                | False      |      29.67 |       3.31 | (x=-240.22, y=22.54, yaw=-70.07°) | (x=-242.22, y=19.90, yaw=-70.07°) | (x=-228.01, y=-6.15, yaw=-70.07°) | (x=-228.01, y=-6.15, yaw=-70.07°)
images/image_00002119.png                | True       |      28.92 |       2.95 | (x=-239.10, y=19.32, yaw=-48.70°) | (x=-239.95, y=16.49, yaw=-48.70°) | (x=-226.89, y=-9.37, yaw=-48.70°) | (x=-226.84, y=-9.29, yaw=-48.70°)
images/image_00002134.png                | True       |      30.24 |       2.39 | (x=-236.90, y=16.24, yaw=-30.31°) | (x=-236.53, y=13.88, yaw=-30.31°) | (x=-224.64, y=-12.37, yaw=-30.31°) | (x=-223.93, y=-13.60, yaw=-29.31°)
