35.769886,-78.676002
35.76984,-78.675823
35.769803,-78.675852
35.769818,-78.675776
35.769793,-78.67573
35.769778,-78.675808
35.769756,-78.675761
35.769768,-78.675878
35.769744,-78.675833
35.769723,-78.67579
35.769729,-78.675908
35.769707,-78.67586
35.769685,-78.675814
35.769985,-78.675843
35.770077,-78.675775
35.770074,-78.675657
35.770137,-78.675725
35.770156,-78.67559
35.770213,-78.675667
35.770213,-78.675545
35.770278,-78.675615
35.770097,-78.675876
35.770334,-78.675572
35.770384,-78.675533
35.770438,-78.675619
35.770442,-78.675488
35.770498,-78.675444
35.770457,-78.675356
35.770556,-78.675401
35.770588,-78.675496
35.770534,-78.675298
35.770616,-78.675356
35.770663,-78.675316
35.77073,-78.675267
35.770727,-78.675145
35.770836,-78.675184
35.770817,-78.675112
35.77082,-78.675035
35.770982,-78.675072
35.770959,-78.674882
35.771058,-78.675026
35.771115,-78.67485
35.77116,-78.674948
35.771208,-78.674905
35.771198,-78.674789
35.77127,-78.674865
35.771244,-78.67475
35.771309,-78.674697
35.7714,-78.674748
35.77141,-78.67462
35.771468,-78.674706
35.77159,-78.674608
35.771536,-78.674521
35.771633,-78.67455
35.77168,-78.674433
35.771691,-78.674301
35.771637,-78.674183
35.77159,-78.674093
35.771532,-78.673978
35.77143,-78.673929
35.771373,-78.673925
35.77132,-78.67393
35.771261,-78.673969
35.771295,-78.674058
35.771133,-78.674069
35.771169,-78.674153
35.771074,-78.674113
35.771066,-78.67423
35.771027,-78.674142
35.771001,-78.674284
35.770943,-78.674207
35.770952,-78.674321
35.770833,-78.674294
35.770873,-78.674383
35.770783,-78.674333
35.770723,-78.674388
35.770644,-78.674445
35.770788,-78.674547
35.770611,-78.674622
35.770515,-78.674537
35.770521,-78.67465
35.770434,-78.674604
35.770458,-78.674701
35.770378,-78.674644
35.770309,-78.674698
35.770296,-78.674791
35.770258,-78.674736
35.770212,-78.674779
35.770162,-78.674811
35.770099,-78.674862
35.77014356,-78.6749482
35.76979176,-78.67528122
35.76974769,-78.67524837
35.76968676,-78.67520813
35.76972375,-78.6751565
35.76976674,-78.67512163
35.76981461,-78.67508609
35.76982604,-78.67518601
35.7698799,-78.67515315
35.76986358,-78.6750472
35.76990983,-78.67500898
35.76994465,-78.67507
35.76979938,-78.67495534
35.76997025,-78.67476746
35.76994794,-78.67473326
35.76998929,-78.6746937
35.77016735,-78.67469439
35.77022339,-78.67465349
35.77027507,-78.67460722
35.77030554,-78.67458308
35.77035505,-78.67454553
35.77043394,-78.67449055
35.77098524,-78.67406098
35.77102496,-78.67403148
35.7714506,-78.67484917
35.77141306,-78.67489075
35.77122702,-78.6750377
35.77114813,-78.67507055
