timestamp,imu_orientation_x,imu_orientation_y,imu_orientation_z,imu_orientation_w,imu_angular_velocity_x,imu_angular_velocity_y,imu_angular_velocity_z,imu_linear_acceleration_x,imu_linear_acceleration_y,imu_linear_acceleration_z,zed_imu_orientation_x,zed_imu_orientation_y,zed_imu_orientation_z,zed_imu_orientation_w,zed_imu_angular_velocity_x,zed_imu_angular_velocity_y,zed_imu_angular_velocity_z,zed_imu_linear_acceleration_x,zed_imu_linear_acceleration_y,zed_imu_linear_acceleration_z,cheap_imu_angular_velocity_x,cheap_imu_angular_velocity_y,cheap_imu_angular_velocity_z,cheap_imu_linear_acceleration_x,cheap_imu_linear_acceleration_y,cheap_imu_linear_acceleration_z,zed_pose_position_x,zed_pose_position_y,zed_pose_position_z,zed_pose_orientation_x,zed_pose_orientation_y,zed_pose_orientation_z,zed_pose_orientation_w,rtk_lat,rtk_lon,rtk_alt,rtk_heading,rtk_sats,gps_lat,gps_lon,gps_heading,gps_sats,gps_qual,left_throttle,right_throttle,image_filename
1757377533.9330015,-0.0003346228913869,0.0007623423589393,0.0015334172639995,0.9999984502792358,0.0004229449077159,0.0023457253563777,0.0004642475725117,-0.0129154045134782,-0.0163220688700675,9.77857494354248,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,nan
1757377534.0338016,-0.0002496229426469,0.0006742069381289,0.0015440810238942,0.9999985694885254,-7.828162632558682e-05,0.0001811502899206,0.000474118661287,-0.0105364937335252,-0.0091712642461061,9.773805618286133,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,nan
1757377534.0438817,-0.0002562243025749,0.0006824911688454,0.0015450923237949,0.9999985694885254,0.0009920269481732,-0.0003809378315908,-0.0016741217540312,-0.0174364726990461,-0.0187637377530336,9.783520698547363,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,nan
1757377534.0539615,-0.0002485330041963,0.0006940178573131,0.0015495897969231,0.9999985694885254,0.0014920112046569,-0.0014206110476376,0.0026569115771235,-0.0173181425780057,-0.0116432979702949,9.786009788513184,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,nan
1757377534.0640416,-0.0002496274246368,0.0007138542132452,0.0015540058957412,0.9999984502792358,-9.239418611405696e-05,0.0007372791331991,0.0015460434677243,-0.0200521312654018,-0.0020604780875146,9.785774230957031,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,nan
1757377534.0766416,-0.0003018356219399,0.0006941617466509,0.0015555920545011,0.9999984502792358,-0.0021738224644741,0.0001789628697297,0.001543903836192,-0.0056603187695145,0.0051080128178,9.766741752624512,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,image_20250908_203524_075_000001.jpg
1757377534.0867217,-0.0002279735199408,0.0006713650655001,0.0015579704195261,0.9999985694885254,0.0004516383886561,0.000717022073489,-0.0006105676675459,-0.0222534853965044,-0.0021020267158746,9.769156455993652,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,image_20250908_203524_096_000002.jpg
1757377534.0968015,-0.0002306123788002,0.0007683454314246,0.0015576056903228,0.9999984502792358,0.0004538587732686,0.0001741889940489,-0.0006097304232515,-0.0176732204854488,0.000328489113599,9.778604507446287,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,image_20250908_203524_108_000003.jpg
1757377534.1068816,-0.0002272197889396,0.0007659158436581,0.0015599419130012,0.9999984502792358,-0.002171847329957,0.0001758318673518,0.0015409832014396,-0.0342664159834384,-0.0045006168074905,9.792983055114746,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,image_20250908_203524_115_000004.jpg
1757377534.1169615,-0.000234952167375,0.0008784310775808,0.0015642845537513,0.9999983310699464,-0.0016544659861775,0.0012600272408639,0.0009917878098246,-0.0248099472373724,-0.0068383528850972,9.788156509399414,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,image_20250908_203524_123_000005.jpg
